validScientificName,scientificNameAuthorship,popularName,phylum,order,family,genus,taxonRank,iucnRedListCategory,riskCategory,decimalLongitude,decimalLatitude,coordinateUncertaintyInMeters,year,taxonomicStatus,nomenclaturalStatus,New.accepted,Old.name,One.Reason,datasetKey,seedStructure,lifeCycleHabit,growthHabit,c,s,r,csr,moisture,soilReaction,nitrogen,salinity,grazing.Mowing,calcareousRock,moistMeadow,moistCalcareousMeadow,aesthetics / sense of place,"kowledge and information - cultural relations (local history, stories etc.)",Other Information,Link,biologicalPriority,environmentalPriority,socialPriority,priorityLevel
Berberis lycium,Royle,berberis,Tracheophyta,Ranunculales,Berberidaceae,Berberis,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Berberis vulgaris f. lycium,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,"",perennial,shrub,,,,"",3,7,3,1,4,2,0,0,Yellow flowers,Unavailable,"","",1,18,0,3
Draba incana,L.,lodnerublom,Tracheophyta,Brassicales,Brassicaceae,Draba,species,NE,LC,10.42185,63.445276,25,2012,Accepted,Valid,TRUE,Draba incana f. tenuis,smallest ID,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,,,,SC*,3,7,2,1,3,3,0,0,small white infloresence,Unavailable,"",https://snl.no/lodnerublom,1,16,0,3
Arabis hirsuta,(L.) Scop.,bergskrinneblom,Tracheophyta,Brassicales,Brassicaceae,Arabis,species,NE,LC,10.422649,63.44469,5,2020,Accepted,Valid,FALSE,"",Not a synonym,b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,4.14,0,95.86,R,2,6,4,1,4,2,0,0,small white infloresence,Unavailable,"",https://snl.no/bergskrinneblom,1,17,0,3
Lathyrus niger,(L.) Bernh.,svarterteknapp,Tracheophyta,Fabales,Fabaceae,Lathyrus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,FALSE,"","",f06ed729-104f-4e51-9db3-dfd9b228a1be,"","","",,,,"",3,6,2,1,2,2,0,0,red-violet flowers and black pods,Unavailable,"",https://snl.no/svarterteknapp,1,14,0,3
Pinus sylvestris,L.,furu,Tracheophyta,Pinales,Pinaceae,Pinus,species,LC,LC,10.423522,63.445355,1000,1990,Accepted,Valid,TRUE,Pinus sylvestris f. nana,"",f06ed729-104f-4e51-9db3-dfd9b228a1be,Gymnosperm,perennial,tree,2.63,97.37,0,S,4,5,2,2,3,1,0,0,Foliage colour: blue green. Flowers shape: cones,Unavailable,Common Tree,https://snl.no/furu,1,16,0,3
Potentilla brauniana,Hoppe ex Nestl.,dvergvårmure,Tracheophyta,Rosales,Rosaceae,Potentilla,species,NE,VU,10.421625,63.44528,5,2022,Accepted,Valid,TRUE,Potentilla verna var. nana,"",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,4.96,69.22,25.82,S/SR,2,7,2,1,6,3,0,0,small bushes with tiny yellow flowers,Unavailable,"",Unavailable,1,18,0,3
Alchemilla filicaulis,Buser,grannmarikåpe,Tracheophyta,Rosales,Rosaceae,Alchemilla,species,NE,LC,10.4235,63.4454,1414,1901,Accepted,Valid,FALSE,"",Accepted,e45c7d91-81c6-4455-86e3-2965a5739b1f,Dicot,perennial,"",,,,"",4,3,4,1,6,0,3,0,"Flowers, small, green or yellowish with 4 fused sepals but no petals",Unavailable,"",https://snl.no/grannmarik%C3%A5pe,1,18,0,3
Saxifraga tridactylites,L.,trefingersildre,Tracheophyta,Saxifragales,Saxifragaceae,Saxifraga,species,NE,EN,10.421931,63.44526,5,2022,Accepted,Valid,FALSE,"","",b124e1e0-4755-430f-9eab-894f25a9b59c,Dicot,perennial,forb,2.34,0,97.66,R,2,8,2,1,5,4,0,0,"It grows between three and fifteen centimeters tall and has seated leaves with three lobes at the ends and small, white flowers.",Unavailable,"",https://snl.no/trefingersildre,1,18,0,3
Viola adunca,Sm.,engfiol,Tracheophyta,Malpighiales,Violaceae,Viola,species,NE,LC,10.421859,63.445236,23,2021,Accepted,Valid,TRUE,Viola canina var. adunca,"",b124e1e0-4755-430f-9eab-894f25a9b59c,"",perennial,herbaceous,,,,"",4,3,2,2,5,0,1,0,The nodding flower is a violet with five purple petals. The lower three petals have white bases and purple veining.,Unavailable,"The flowers and leaves have long been used in various herbal remedies as poultices, laxatives, and to relieve cough and lung congestion. The Makah women used to eat the violet flowers and leaves during labor. The Klallam mashed the leaves and applied them to the chest or stomach to relieve pain.This is a hairy, compact plant growing from a small rhizome system. The leaves are spade- or heart-shaped, sometimes with broadly wavy margins.  ",https://en.wikipedia.org/wiki/Viola_adunca,1,16,0,3
