scientificName,rowNumber
Agrostis alpina,68
Agrostis capillaris,71
Agrostis vinealis,72
Ambrosia psilostachya,133
Arabis alpina,228
Arctostaphylos uva-ursi,243
Symphyotrichum lanceolatum,311
Aster bellidiastrum,364
Canarium littorale,504
Carex curvula,547
Carex nigra,583
Carex magellanica  subsp. irrigua,592
Carex rupestris,605
Carex vulpinoidea,620
Centaurea nigra,669
Cerastium fontanum  subsp. vulgare,697
Clematis terniflora,779
Centaurea cyanus,881
Elymus repens,1024
Elymus repens,1026
Hippocrepis emerus  subsp. emerus,1027
Epilobium angustifolium,1032
Erigeron canadensis,1062
Erysimum odoratum,1091
Gamochaeta purpurea,1300
Guarea guidonia,1309
Hippophae rhamnoides,1411
Hordeum distichon,1434
Pentanema britannicum,1496
Juncus alpinoarticulatus,1516
Cicerbita alpina,1564
Lamium galeobdolon,1581
Helichrysum luteoalbum,1586
Cytisus nigricans,1618
Buglossoides arvensis,1684
Logfia minima,1692
Mentha arvensis,1814
Oenothera glazioviana,1941
Anacamptis morio,1962
Neotinea ustulata,1965
Panicum philadelphicum,2002
Parthenocissus quinquefolia,2017
Phleum alpinum,2083
Pilosella officinarum,2108
Pinus mugo,2118
Poa nemoralis,2158
Persicaria amphibia,2177
Persicaria bistorta,2179
Persicaria hydropiper,2181
Persicaria vivipara,2188
Potentilla crantzii,2227
Primula vulgaris,2264
Prunus avium,2277
Pulsatilla alpina,2318
Pulsatilla vulgaris,2323
Quercus pubescens,2336
Frangula alnus,2385
Rumex stenophyllus,2462
Eleocharis quinqueflora,2553
Schoenoplectus lacustris,2556
Coronilla varia,2581
Euthamia graminifolia,2684
Taraxacum erythrospermum,2787
Thymus pulegioides,2835
Trisetum flavescens,2898
Vaccinium uliginosum,2931
